x,y
1849.176,481.593
2304.945,482.143
2784.341,479.396
2971.154,481.358
3099.49,482.143
3483.791,482.692
3861.813,481.044
4188.645,486.035
4298.077,481.358
4722.101,487.353
4798.535,481.685
6137.637,482.692
6250.275,482.692
6725.899,497.31
6936.099,483.791
7312.912,482.692
7607.143,482.143
7637.363,479.396
2476.648,482.143
4935.783,484.547
6051.609,484.89
7218.864,485.348
751.374,486.852
1204.67,488.422
3437.687,489.136
3656.593,487.637
4527.473,486.264
5057.692,486.264
6032.967,486.264
6328.984,488.324
7251.832,487.179
7351.568,490.869
7456.633,487.637
379.822,506.195
515.11,491.17
1365.385,489.011
1494.505,490.385
2325.092,489.927
2651.839,493.766
4473.443,492.216
5980.181,490.385
6107.418,489.835
6436.813,490.385
6546.245,489.469
6684.001,493.786
6704.67,489.011
6858.379,495.055
7836.323,505.899
583.006,493.132
2069.27,493.132
3236.264,493.132
4016.484,495.879
4160.714,493.132
4760.989,493.132
4924.451,491.071
5020.604,493.917
5123.626,493.132
6874.542,492.674
7423.077,493.132
7604.052,498.283
207.418,497.253
231.799,495.536
564.56,495.094
2307.692,495.879
2798.077,494.505
4545.33,500.5
5590.659,494.505
6473.901,493.132
6622.253,495.879
7398.352,494.505
7550.824,493.132
7803.47,504.223
218.864,498.168
831.044,495.879
2042.582,497.841
3273.352,497.253
4359.661,502.289
4942.308,498.234
6299.908,498.932
6938.187,502.06
7013.736,498.626
429.945,500.589
3204.67,502.159
3259.366,502.373
4148.626,505.952
4427.198,502.232
4685.783,501.717
5185.44,501.374
5284.341,502.747
5819.27,501.374
6959.707,501.832
7227.433,501.374
7537.088,500
538.462,504.121
1592.818,504.121
3238.095,503.663
4252.747,504.121
4268.956,503.571
4403.257,504.121
4640.699,504.121
5037.194,506.551
5240.934,503.022
5765.453,503.777
6238.137,505.619
6313.645,502.289
6330.024,511.813
7431.002,506.868
7552.198,502.747
2325.549,505.495
4285.879,513.022
4346.429,506.319
4711.538,505.495
5330.701,506.525
6665.584,511.988
